ano,trimestre,departamento,municipio,impuestomes1,impuestomes2,impuestomes3,totalimpuesto
2018,3,CASANARE,SAN LUIS DE PALENQUE,36103475.8254728,31451837.4740385,39829054.8705678,107384368.170079
2018,3,CASANARE,SABANALARGA,303340952.394089,309811321.094585,330450126.3163,943602399.804974
2018,3,CASANARE,PORE,42954495.2722416,44311945.3959143,38995184.2943765,126261624.962532
2018,3,CASANARE,PAZ DE ARIPORO,54424767.3801205,56144701.7203473,49408189.1447389,159977658.245207
2018,3,CASANARE,NUNCHIA,86301361.6253645,86681514.4135797,80995238.6213546,253978114.660299
2018,3,CASANARE,MONTEREY,1282535489.20117,1353340268.26797,1391485467.29611,4027361224.76525
2018,3,CASANARE,MANI,51968376.8660524,49888661.0177822,53906900.6627201,155763938.546555
2018,3,CASANARE,HATO COROZAL,118790011.823873,122544021.452901,107840598.315352,349174631.592126
2018,3,CALDAS,LA DORADA,131008069,123007902,139223308,393239279
2018,3,BOYACA,ZETAQUIRA,181120203.176948,186815476.576412,198503372.761672,566439052.515032
2018,3,BOYACA,VILLA DE LEYVA,155599592.925659,160493130.320798,170534325.374563,486627048.62102
2018,3,BOYACA,VENTAQUEMADA,62998463.5080921,64979417.2809691,69044777.9470226,197022658.736084
2018,3,BOYACA,TUNUNGUA,76184.6752407312,69473.156327516,72284.0462734309,217941.877841678
2018,3,BOYACA,SUTAMARCHAN,9763165.1488846,10070353.5685594,10700426.4645988,30533945.1820428
2018,3,BOYACA,SAN SOFIA,204736773.543729,211175595.618714,224387713.156107,640300082.31855
2018,3,BOYACA,SAN LUIS DE GACENO,31496266.4934742,32487004.1497561,34519575.5588528,98502846.202083
2018,3,BOYACA,SAMACA,181116502.778436,186812102.165962,198499861.822282,566428466.76668
2018,3,BOYACA,SACHICA,110243815.556744,113710791.920057,120825043.83588,344779651.312681
2018,3,BOYACA,RAMIRIQUI,133871586.070786,138081124.516339,146720008.985117,418672719.572241
2018,3,BOYACA,PAUNA,4353.41001375607,3969.89464728663,4130.51692991034,12453.821590953
2018,3,BOYACA,PAEZ,173240463.516155,178688551.770011,189868096.292084,541797111.578251
